fid,business_id,name,lat,lon,stars,city,categories
1,MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,39.9555052,-75.1555641,4,Philadelphia,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries"
2,MUTTqe8uqyMdBl186RmNeA,Tuna Bar,39.953949,-75.1432262,4,Philadelphia,"Sushi Bars, Restaurants, Japanese"
3,ROeacJQwBeh05Rqg7F6TCg,BAP,39.943223,-75.162568,4.5,Philadelphia,"Korean, Restaurants"
4,QdN72BWoyFypdGJhhI5r7g,Bar One,39.9398245705,-75.1574465632,4,Philadelphia,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants"
5,Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,40.0224662,-75.218314,3,Philadelphia,"Pizza, Restaurants, Salad, Soup"
6,aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,39.9625821,-75.1356571,3.5,Philadelphia,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants"
8,ppFCk9aQkM338Rgwpl2F5A,Wawa,39.954573,-75.1948936,3,Philadelphia,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores"
12,3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,39.963077709,-75.1680274529,3,Philadelphia,"Restaurants, Chinese"
16,WYYdQDjx-DsCanlP0DpImQ,J Sushi,39.9470334,-75.1574339,4.5,Philadelphia,"Seafood, Restaurants, Sushi Bars, Japanese"
19,O1oZpbZNDMH_gz8DhsZCdA,Wendy's,40.012141,-75.1150148,1.5,Philadelphia,"Burgers, Restaurants, Fast Food"
22,bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,39.9385518,-75.1496356,4.5,Philadelphia,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea"
25,bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,39.9516153765,-75.2033457223,4,Philadelphia,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars"
28,n8ecak12IF_jhnPNs37AZA,Baltic Bakery,39.9768798,-75.1161695,4.5,Philadelphia,"Food, Bakeries, Restaurants"
29,_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,39.9563959,-75.2253784,4.5,Philadelphia,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes"
30,VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,39.9412993,-75.1477446,3,Philadelphia,"Tex-Mex, Restaurants, American (Traditional), Nightlife, Bars"
35,e8pMCk4bE0U4qk7z59Lxkg,Federal Donuts,39.963042,-75.1741858944,4.5,Philadelphia,"Sandwiches, Chicken Wings, Restaurants, Donuts, Food"
40,V-96iACFgPmVjjKACGxd7Q,Fusion Pizza & Grill,40.0839955,-75.0354963,2.5,Philadelphia,"Ethnic Food, Specialty Food, Restaurants, Food, Pizza"
