business_id,pois_100m_count,pois_200m_count,pois_500m_count,places_100m_count,places_200m_count,places_500m_count,traffic_100m_count,traffic_200m_count,traffic_500m_count,transport_100m_count,transport_200m_count,transport_500m_count,roads_100m_count,roads_100m_len,roads_200m_count,roads_200m_len,roads_500m_count,roads_500m_len,railways_100m_count,railways_100m_len,railways_200m_count,railways_200m_len,railways_500m_count,railways_500m_len,waterways_100m_count,waterways_100m_len,waterways_200m_count,waterways_200m_len,waterways_500m_count,waterways_500m_len,buildings_100m_count,buildings_100m_area,buildings_200m_count,buildings_200m_area,buildings_500m_count,buildings_500m_area,landuse_100m_count,landuse_100m_area,landuse_200m_count,landuse_200m_area,landuse_500m_count,landuse_500m_area,natural_100m_count,natural_100m_area,natural_200m_count,natural_200m_area,natural_500m_count,natural_500m_area,water_100m_count,water_100m_area,water_200m_count,water_200m_area,water_500m_count,water_500m_area
MTSW4McQd7CbVtyjqoe9mw,25.0,57.0,185.0,0.0,0.0,0.0,8.0,44.0,306.0,0.0,0.0,13.0,38.0,2939.4034352484086,170,13191.398779738704,893,57825.50520118285,0.0,0.0,12.0,4342.547590153341,51.0,18126.737788992046,0.0,0.0,0.0,0.0,0.0,0.0,108.0,23300.030513505975,279.0,139980.22416696427,627,394724.99412042066,2.0,10162.090291098473,5.0,198336.65572929656,17.0,252479.86320840957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,450.48592564391095
MUTTqe8uqyMdBl186RmNeA,5.0,14.0,147.0,0.0,0.0,0.0,20.0,50.0,289.0,1.0,2.0,16.0,60.0,7882.217604429186,115,13775.873932114504,704,58527.13002484761,2.0,997.9313089876,10.0,2799.6669294076496,30.0,8582.48793501573,0.0,0.0,0.0,0.0,0.0,0.0,64.0,18069.5705621022,241.0,58340.250911660354,711,253590.38764702532,1.0,348.774488678406,5.0,9802.59748172303,32.0,270526.1878413894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7538246.299938927
ROeacJQwBeh05Rqg7F6TCg,1.0,5.0,82.0,0.0,0.0,0.0,20.0,51.0,419.0,0.0,0.0,4.0,34.0,6581.380358832828,127,15214.083236499659,853,68986.1348078613,0.0,0.0,0.0,0.0,7.0,5058.989450953345,0.0,0.0,0.0,0.0,0.0,0.0,173.0,16565.75338625665,619.0,58947.21736028428,2917,363445.8150355157,1.0,1284.8534255090253,2.0,30631.647544633597,8.0,47679.78850137478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.577765252671442,1.0,6.577765252671442
QdN72BWoyFypdGJhhI5r7g,8.0,25.0,72.0,0.0,0.0,0.0,13.0,59.0,293.0,0.0,0.0,0.0,29.0,5199.080812377248,126,15215.276616110581,628,60221.80407106057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,17256.65783635844,766.0,59837.26704593099,3894,359834.0173267955,0.0,0.0,2.0,2759.8246659160736,14.0,183148.19000350864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mjboz24M9NlBeiOJKLEd_Q,14.0,29.0,122.0,0.0,0.0,0.0,38.0,119.0,549.0,3.0,5.0,12.0,48.0,5317.313181081507,163,10321.028712612431,854,40881.26222590092,6.0,2291.1069587661077,12.0,5257.411431120911,18.0,6701.906725157246,1.0,82.63152149085064,6.0,3945.2449449554956,7.0,3947.5628566785817,35.0,15213.343584690958,245.0,38049.30894016865,1437,168341.58702647165,3.0,231115.5001510141,3.0,231115.5001510141,35.0,480090.11983748316,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1405757.4397229801,3.0,1405757.4397229801,3.0,1405757.4397229801
aPNXGTDkf-4bjhyMBQxqpQ,2.0,4.0,35.0,0.0,0.0,0.0,11.0,38.0,206.0,0.0,0.0,13.0,36.0,3016.4009983096007,103,7097.0513842222335,587,41570.15015032086,0.0,0.0,0.0,0.0,21.0,4978.3361060002635,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18057.39792454516,35.0,32416.36093574607,485,160776.63783193618,3.0,49410.95188580843,4.0,55594.91226534735,17.0,242761.6375301246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7538246.299938927,1.0,7538246.299938927
ppFCk9aQkM338Rgwpl2F5A,12.0,33.0,261.0,0.0,0.0,0.0,14.0,53.0,344.0,1.0,4.0,11.0,55.0,3936.236822425759,157,11020.193422316146,868,63947.622436054044,2.0,2722.371270151579,8.0,5942.98488894283,18.0,12530.353747534215,0.0,0.0,0.0,0.0,0.0,0.0,10.0,23312.033747761223,39.0,76046.76275635957,269,357099.0944179098,0.0,0.0,1.0,8941.409932304108,36.0,187873.80552957547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3BJxm-HnvzdwD1zjmSbmyQ,4.0,61.0,152.0,0.0,0.0,0.0,15.0,66.0,303.0,0.0,0.0,1.0,38.0,4403.140346156507,118,11203.970542858815,545,45393.30253274042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23186.02881043349,184.0,68119.9699190637,1246,355580.8195451651,0.0,0.0,5.0,12058.53690036508,21.0,396258.54717744794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.93666029750995
WYYdQDjx-DsCanlP0DpImQ,5.0,22.0,161.0,0.0,0.0,2.0,13.0,69.0,402.0,1.0,2.0,17.0,43.0,3435.473550519621,131,12474.388426276351,849,59593.5667194327,2.0,1773.3405099039094,8.0,3357.826730397689,8.0,3357.826730397689,0.0,0.0,0.0,0.0,0.0,0.0,131.0,21940.001967179975,288.0,79784.07578829567,1814,413026.285248789,1.0,11713.668459353194,4.0,205846.8852343441,26.0,278997.90132765804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,94.64781163894328
O1oZpbZNDMH_gz8DhsZCdA,1.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,9.0,1759.0469058120393,27,3699.618881154676,180,27534.50933581443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11988.15344371867,10.0,24433.489508945964,111,145018.04444964067,2.0,118952.94847306305,4.0,211498.09634042488,9.0,983293.8727380801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
